Episode Number,Pitch Number,Brand,Idea,Location,Sector,Male,Female,Avg_age,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Ashneer Amount Invested,Ashneer Equity Taken %,mita Amount Invested,mita Equity Taken %,Anupam Amount Invested,Anupam Equity Taken %,Vineeta Amount Invested,Vineeta Equity Taken %,Aman Amount Invested,Aman Equity Taken %,Peyush Amount Invested,Peyush Equity Taken %,Ghazal Amount Invested,Ghazal Equity Taken %,Total investors,Partners
24,76,The Sass Bar,Gifts,Mumbai,Lifestyle,2,1,30-35,50,0,35%,,,0,0,25,17.5,0,0,,,0,0,25,17.5,2,Anu-Gha
24,77,KG Agrotech,Agricultural Innovations,Malegaon,Technology,3,0,25-30,10,20,40%,,,0,0,0,0,0,0,,,30,40,0,0,1,Pey
24,78,Nuskha Kitchen,Homemade Foods,Jaipur,Food,0,1,35-40,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
25,79,PawsIndia,Dog Products,Bombay,Food,1,1,25-30,50,0,15%,,,0,0,50,15,0,0,,,0,0,0,0,1,Anu
25,80,Sunfox Technologies,Portable ECG Device,Dehradun,Health,1,0,30-35,10,0,6%,,,20,1.2,20,1.2,20,1.2,,,20,1.2,20,1.2,5,Anu-Gha-m-Pey-Vin
25,81,Alpino,Roasted Peanut Products,Surat,Food,1,0,25-30,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
26,82,Isak Fragrances,Perfumes,Lucknow,Lifestyle,0,1,30-35,50,0,50%,,,0,0,0,0,0,0,,,50,50,0,0,1,Pey
26,83,Julaa Automation,Automatic Cradle,Gujarat,Technology,2,0,30-35,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
26,84,Rare Planet,Handicrafts,Kolkata,Lifestyle,1,0,30-35,65,0,30%,,,65,3,0,0,0,0,,,0,0,0,0,1,m
27,85,Theka Coffee,Coffee Products,Gujarat,food,1,0,30-35,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
27,86,Watt Technovations,Ventilated PPE Kits,Pune,Health,4,0,40-50,10,0,4%,,,,,,,,,,,,,,,,Ama-Anu-m-Pey
27,87,Aliste Technologies,Automation Solutions,Noida,Technology,4,0,25-30,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
27,88,Insurance Samadhan,Insurance Solutions,Noida,Fince,0,1,30-35,10,0,4%,,,0,0,0,0,0,0,,,100,4,0,0,1,Pey
28,89,Humpy A2,Organic Milk Products,Pune,Food,3,1,35-40,10,0,15%,,,0,0,0,0,33.33,5,,,33.33,5,33.33,5,3,Gha-Pey-Vin
28,90,Kufa World,Kufa,Bangalore,Food,2,1,30-35,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
